Linear regression parameters:
Subvector 0
0.0256502 1.04703
Scaled target-output data:
Submatrix0
-0.264963 -0.355286 
-0.606866 -0.446169 
-0.233566 -0.481992 
-0.477598 -0.592233 
-0.600383 -0.722456 
-0.801018 -0.745227 
-0.834615 -0.72534 
-0.602037 -0.668896 
-0.518845 -0.290614 
0.0321152 -0.112378 
0.118431 -0.0185975 
0.141324 0.0763068 
-0.0315973 0.170745 
0.262149 0.217282 
0.36524 0.474235 
0.488874 0.546815 
0.419921 0.638752 
0.561522 0.707125 
0.555013 0.748933 
0.737157 0.70652 
0.5795 0.663331 
0.253037 0.294742 
